Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11
US Nebraska;1934408;198974;286;14.7848850915;0.0137652212;0.0144247743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;2;2;3;4;5;6;6;8;8;10;12;14;15;17;17;17;18;20;21;24;24;28;28;33;38;45;47;50;53;56;55;55;68;70;73;76;78;78;82;86;90;92;96;98;100;103;107;113;119;123;123;125;132;138;143;147;147;150;150;153;163;164;170;170;170;178;181;187;186;186;188;188;188;191;195;212;216;216;216;220;231;234;240;244;244;244;249;256;257;260;266;267;267;269;274;276;282;284;284;284;283;282;282;284;286
US Nevada;3080156;284332;592;19.2198057501;0.0220582756;0.0264073512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;5;7;8;13;13;17;21;25;28;32;37;45;51;59;70;76;79;91;101;110;120;125;128;133;141;150;158;162;168;172;180;193;201;210;216;229;235;245;251;257;269;277;281;287;292;297;311;320;328;334;339;344;350;355;358;368;369;375;383;390;393;397;400;404;408;410;412;416;425;435;439;444;445;452;455;460;460;463;465;469;472;474;475;475;478;479;483;485;486;489;491;491;492;492;492;494;495;498;500;500;504;507;511;525;528;530;534;537;548;553;571;579;592
US New Hampshire;1359711;23187;390;28.6825656334;0.0650976465;0.066360388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;3;4;4;5;7;9;9;9;18;18;21;22;23;23;23;32;32;37;37;38;41;42;42;48;51;53;60;60;60;60;66;72;81;84;86;86;92;111;114;121;131;133;133;142;150;159;159;171;172;172;182;190;199;208;208;209;210;214;223;232;238;242;245;245;256;265;273;283;283;286;286;294;301;308;315;318;320;320;326;330;331;337;339;339;339;343;347;365;365;367;367;367;371;373;375;376;376;381;382;384;386;387;390
US New Jersey;8882190;19047;15525;174.7879745873;0.0887350751;0.0895318393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;5;9;11;16;20;27;44;62;81;108;140;161;198;267;355;537;646;846;917;1003;1232;1504;1700;1932;2183;2350;2443;2805;3156;3518;3840;4070;4202;4377;4753;5063;5368;5617;5863;5938;6044;6442;6770;7228;7538;7742;7871;7910;8244;8549;8801;8952;9116;9255;9310;9508;9702;9946;10138;10249;10356;10435;10586;10747;10843;10985;11081;11133;11144;11191;11339;11401;11531;11634;11698;11721;11770;11880;11970;12049;12106;12176;12214;12303;12377;12443;12489;12589;12625;12676;12727;12769;12800;12835;12857;12870;12895;12949;12995;14872;14914;14948;14975;14992;15035;15078;15107;15164;15189;15211;15229;15281;15423;15448;15479;15525
US New Mexico;2096829;314161;539;25.7054819444;0.0370472197;0.0412615785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;4;5;6;7;10;11;12;12;13;16;19;19;20;26;31;36;36;44;51;53;55;58;65;71;78;84;93;99;104;110;112;123;131;139;151;156;162;169;172;181;191;200;208;219;231;242;253;259;265;270;276;283;294;302;308;317;320;325;329;335;344;351;356;362;367;375;383;387;392;396;400;404;410;426;426;431;435;440;447;452;456;464;469;469;469;476;480;485;489;491;492;493;497;500;503;511;513;513;515;519;527;533;539
US New York;19453561;122057;24974;128.3775243;0.0622747981;0.0628860502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;7;7;12;12;35;44;114;114;210;285;385;519;728;965;1218;1550;1941;2373;2935;3565;4159;4758;5489;6268;7067;7844;8627;9385;10056;10834;11586;12192;12822;13362;13869;14347;14828;15302;15740;16162;16599;16966;17303;17638;18015;18321;18610;18909;19189;19415;19645;19877;20828;21045;21271;21478;21640;21845;22013;22170;22304;22478;22619;22729;22843;22976;23083;23195;23282;23391;23488;23564;23643;23722;23780;23848;23905;23959;24023;24079;24133;24175;24212;24259;24299;24348;24404;24442;24495;24527;24551;24579;24608;24629;24661;24686;24710;24725;24739;24766;24782;24800;24814;24830;24835;24842;24855;24866;24877;24885;24896;24904;24913;24924;24944;24959;24968;24974
US North Carolina;10488084;125920;1499;14.2924103201;0.0178893225;0.0205390296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;2;3;4;4;6;8;10;16;19;24;31;33;46;53;65;74;80;81;86;108;117;131;152;164;172;179;213;242;253;269;289;299;306;342;354;378;399;420;422;430;452;477;507;527;544;547;550;577;597;615;641;652;659;661;691;702;716;728;737;744;754;766;794;827;859;877;886;898;921;939;960;966;992;996;1006;1029;1053;1064;1092;1104;1109;1118;1154;1168;1175;1197;1212;1220;1223;1251;1266;1284;1303;1312;1322;1325;1343;1373;1391;1392;1395;1396;1398;1420;1441;1461;1479;1499
US North Dakota;762062;178711;81;10.6290564285;0.0190902663;0.0204402516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;3;3;3;3;3;4;4;5;6;7;8;8;9;9;9;9;9;10;13;13;14;15;15;16;17;19;19;19;19;23;24;16;15;17;22;23;24;24;24;24;25;29;31;35;35;35;37;37;37;38;39;39;39;39;40;44;48;48;48;48;50;54;54;58;59;59;59;62;65;67;67;67;67;67;68;69;70;70;71;71;71;72;73;74;76;77;77;77;77;78;78;78;78;78;78;78;81;78;78;78;78
US Ohio;11689100;105829;3036;25.9729149378;0.0472794095;0.0531224301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;6;8;10;15;19;25;29;39;55;65;81;91;102;119;142;167;193;213;231;247;253;274;324;361;389;418;451;471;509;557;610;656;690;711;728;753;799;937;975;1002;1021;1038;1056;1135;1225;1271;1306;1331;1341;1357;1436;1483;1534;1581;1610;1625;1657;1720;1781;1836;1872;1956;1969;1987;2002;2044;2098;2131;2149;2155;2206;2258;2299;2339;2355;2370;2377;2404;2421;2457;2490;2508;2554;2557;2573;2597;2611;2633;2667;2697;2700;2704;2735;2755;2772;2788;2804;2807;2818;2863;2876;2903;2903;2907;2911;2927;2970;2991;3006;3032;3036
US Oklahoma;3956971;177660;421;10.6394512368;0.0212852015;0.0264314415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;3;5;7;8;15;16;17;23;30;34;38;42;46;51;67;79;80;88;94;96;99;108;123;131;136;139;140;143;164;170;179;188;194;195;197;207;214;222;230;238;238;238;247;253;260;266;270;272;274;278;278;284;285;288;288;288;294;299;304;307;311;311;313;318;322;326;329;334;334;334;339;341;344;344;345;348;348;353;355;357;359;359;359;359;363;364;366;367;368;369;369;371;372;375;377;384;385;385;387;389;395;398;398;398;399;404;407;410;416;421
US Oregon;4217737;248608;232;5.5005800504;0.0195764071;0.0226783969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;4;5;8;8;11;12;13;13;16;18;18;21;22;26;27;27;33;33;44;44;48;52;53;55;58;64;70;72;74;75;78;78;83;86;87;91;92;92;101;103;104;109;109;109;113;115;121;124;127;127;130;130;134;137;137;137;137;138;140;144;145;147;147;148;148;148;148;151;151;153;153;154;157;159;159;161;163;164;164;169;169;171;173;174;176;180;182;183;187;188;189;190;192;192;195;197;202;202;202;204;207;208;209;209;213;215;215;220;224;230;232;232
US Pennsylvania;12801989;115883;6897;53.874440917;0.0728384501;0.0767578516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;6;7;11;16;22;34;38;49;63;74;90;102;136;150;162;240;309;338;416;494;507;524;584;647;707;756;836;1112;1204;1564;1622;1421;1492;1537;1550;1597;1716;2195;2292;2354;2418;2444;2458;3012;3106;3416;3616;3688;3707;3731;3806;3943;4218;4342;4403;4418;4505;4624;4624;4869;4984;5096;5124;5139;5152;5265;5373;5464;5537;5555;5567;5667;5741;5817;5886;5931;5943;5953;6014;6062;6113;6162;6211;6215;6243;6276;6319;6361;6399;6419;6423;6426;6464;6518;6557;6579;6579;6579;6614;6649;6649;6712;6746;6749;6753;6754;6787;6812;6848;6880;6897
US Puerto Rico;3193694;8868;167;5.2290545055;0.0178304506;0.0210965134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;3;3;5;6;8;11;12;15;18;20;21;23;24;33;39;42;44;45;45;51;56;58;60;62;63;64;67;69;77;83;84;84;86;86;92;92;95;97;97;99;99;102;107;108;111;113;114;115;117;122;122;123;124;124;125;126;126;127;127;129;129;129;131;132;133;136;136;138;140;140;141;142;142;142;142;143;144;146;146;147;147;147;147;147;147;147;149;149;149;149;151;151;152;153;153;153;153;153;154;155;155;155;157;159;159;159;167
US Rhode Island;1059361;2678;976;92.1310110529;0.0563770795;0.0570493336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;8;10;12;14;17;25;27;30;35;43;49;56;63;73;80;87;105;118;150;164;175;186;201;213;202;215;226;233;239;251;266;279;296;320;341;355;370;388;399;418;422;430;444;462;468;479;489;499;506;532;538;556;579;597;608;608;634;655;677;693;711;718;720;732;742;756;772;772;772;799;808;812;823;833;833;833;851;865;876;885;894;894;894;903;906;912;920;927;927;927;946;950;956;959;960;960;960;960;969;971;974;976;976
US South Carolina;5148714;77857;951;18.4706316956;0.0173860582;0.0212054318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;3;5;5;7;9;9;13;16;18;22;26;31;31;40;44;44;51;63;67;72;80;82;82;97;107;107;109;119;120;120;124;140;150;150;166;174;174;177;203;244;256;267;275;275;283;305;305;316;330;331;331;355;355;371;380;380;380;391;399;399;407;419;425;435;440;446;466;470;483;487;494;500;501;518;525;538;545;546;557;568;575;588;593;599;600;602;607;617;621;639;644;653;659;673;683;693;694;711;716;720;739;766;784;793;813;820;827;846;884;905;929;951
US South Dakota;884659;196350;109;12.3211316451;0.0146230212;0.0154325357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;4;6;6;6;6;6;6;6;6;6;7;7;7;7;7;8;8;9;10;10;11;11;11;13;17;21;21;21;21;24;29;31;31;34;34;34;39;39;43;44;44;44;44;46;46;48;50;50;50;50;50;54;54;59;62;62;62;62;62;64;65;65;65;65;68;69;73;74;75;75;75;77;78;78;81;81;81;81;83;84;87;88;91;91;91;91;93;97;97;97;97;97;98;98;101;107;109
US Tennessee;6829174;106798;738;10.8065777794;0.0120971708;0.0143493224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;3;3;6;6;7;13;23;24;32;37;43;44;65;72;79;94;98;101;101;109;124;135;141;142;145;148;152;157;166;170;168;178;181;184;188;195;199;204;209;210;219;226;239;237;241;242;243;251;265;273;287;290;295;298;301;305;309;313;315;329;336;338;343;353;356;360;364;364;367;381;388;401;408;417;418;421;435;436;441;468;472;475;483;493;497;509;515;524;526;531;542;556;567;577;584;584;592;604;609;620;633;637;646;653;665;685;710;723;738
US Texas;28995881;676587;3112;10.7325588762;0.0124250385;0.0159394383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;5;5;5;8;9;12;18;23;27;34;34;41;58;70;90;105;127;140;154;177;199;226;254;271;287;318;364;393;428;453;477;495;517;543;561;593;623;648;663;690;732;782;816;847;867;884;906;948;973;1004;1049;1088;1100;1133;1158;1216;1272;1305;1336;1347;1369;1419;1440;1480;1506;1506;1527;1536;1562;1601;1626;1626;1672;1678;1698;1734;1767;1788;1819;1830;1830;1853;1885;1920;1939;1957;1976;1983;2029;2062;2105;2140;2165;2182;2192;2220;2249;2296;2324;2366;2393;2403;2424;2481;2525;2575;2608;2637;2655;2715;2813;2918;3013;3112
US Utah;3205958;212818;212;6.6126880015;0.0073470802;0.0084963129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;4;5;7;7;7;8;8;13;13;13;13;17;18;18;18;19;20;21;23;25;27;28;32;34;35;39;41;41;41;45;45;46;46;49;50;50;56;58;61;61;66;67;68;73;75;75;77;78;80;80;88;90;92;93;97;97;98;101;105;106;107;112;113;113;113;117;117;120;121;121;124;127;128;131;139;139;139;143;145;149;152;155;155;158;158;163;163;164;166;167;167;168;172;173;176;181;181;184;190;194;201;205;207;212
US Vermont;623989;23871;56;8.974517179;0.0436477007;0.0448358687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;5;7;8;9;10;12;12;12;13;16;17;17;20;22;23;23;23;23;24;25;27;28;29;30;35;35;38;38;38;40;40;43;44;46;46;47;47;47;49;50;51;52;52;52;52;53;53;53;53;53;53;53;53;53;53;54;54;54;54;54;54;54;54;54;54;54;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56
US Virgin Islands;104425;350;1;0.9576250898;0.125;0.125;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
US Virgin Islands;104425;350;6;5.7457505387;0.0359281437;0.0538116592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
US Virginia;8535519;102279;1962;22.9862999543;0.0281161331;0.0298412119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;2;3;6;7;9;13;14;17;22;25;27;34;41;46;52;51;54;63;75;109;121;130;141;149;154;195;208;231;258;277;300;324;349;372;410;436;448;458;492;522;552;581;616;660;684;713;713;769;812;827;839;850;891;927;955;977;1002;1009;1014;1041;1074;1099;1136;1159;1171;1208;1236;1281;1338;1358;1370;1375;1392;1407;1428;1445;1453;1460;1472;1477;1496;1514;1520;1534;1541;1546;1552;1570;1583;1586;1602;1607;1611;1620;1645;1661;1675;1700;1724;1732;1740;1763;1786;1816;1845;1849;1853;1853;1881;1905;1937;1958;1962
US Washington;7614893;172119;1424;18.7001971006;0.0363098577;0.0404006015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;5;8;11;14;16;20;26;27;31;35;37;40;44;47;51;57;69;78;82;92;104;111;126;137;146;159;183;199;220;237;248;262;282;310;338;365;386;407;429;443;459;476;494;509;526;542;551;571;585;598;615;629;640;647;654;659;665;738;749;765;786;801;814;824;830;834;841;862;870;891;905;921;931;945;962;975;983;992;1000;1001;1002;1031;1037;1044;1050;1055;1061;1070;1078;1095;1106;1111;1118;1118;1124;1129;1135;1138;1149;1153;1159;1161;1176;1190;1194;1204;1213;1217;1221;1231;1226;1245;1255;1265;1270;1276;1284;1293;1300;1304;1310;1310;1320;1332;1339;1342;1352;1354;1359;1370;1384;1394;1409;1424
US West Virginia;1792147;62259;95;5.3009044459;0.0233186058;0.0291232373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;3;4;4;4;5;5;5;8;9;9;10;13;13;16;18;24;26;26;29;32;32;34;36;37;38;41;46;48;50;50;50;50;51;51;53;54;54;57;58;60;62;64;67;67;68;69;70;71;72;72;72;74;74;74;74;75;75;75;77;78;78;84;84;84;84;84;85;85;86;88;88;88;88;88;88;88;88;89;89;92;92;92;92;93;93;93;93;93;93;93;94;94;95;95;95;95;95;95
US Wisconsin;5822434;140268;828;14.2208567757;0.0211873081;0.0238341969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;4;5;5;7;8;13;13;13;14;16;24;31;37;56;68;77;92;99;111;128;137;144;154;170;182;197;205;211;220;230;242;246;257;262;266;272;281;300;308;316;327;334;339;340;353;362;374;384;398;400;409;418;421;434;445;453;453;459;467;481;487;496;507;510;514;517;539;550;568;588;592;595;607;616;626;633;645;647;646;661;671;682;689;691;692;694;703;712;719;730;744;744;745;750;757;766;766;777;777;784;784;793;800;803;803;803;803;812;814;816;821;828
US Wyoming;578759;251470;21;3.628453294;0.0114192496;0.0128518972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;10;11;11;12;12;12;12;13;13;15;15;16;16;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;21;21;21;21
